team,player,status,reason
ClevelandCavaliers,"Allen,Jarrett",Out,Injury/Illness-Head;Concussion
ClevelandCavaliers,"Dellavedova,Matthew",Available,Injury/Illness-Abdominal;
ClevelandCavaliers,"Love,Kevin",Available,Injury/Illness-RightCalf;
ClevelandCavaliers,"NanceJr.,Larry",Out,Injury/Illness-Illness;Illness
ClevelandCavaliers,"Windler,Dylan",Out,Injury/Illness-LeftKnee;
Philadelphia76ers,"Brazdeikis,Ignas",Out,Coach'sDecision-Inactive
Philadelphia76ers,"Embiid,Joel",Out,Injury/Illness-LeftKnee;Bone
Philadelphia76ers,"Hill,George",Out,Injury/Illness-RightThumb;
Philadelphia76ers,"Jones,Mason",Out,Coach'sDecision-Inactive
DetroitPistons,"Diallo,Hamidou",Out,Injury/Illness-RightGroin;
DetroitPistons,"Doumbouya,Sekou",Available,Injury/Illness-Head;Migraine
DetroitPistons,"Ellington,Wayne",Available,Injury/Illness-RightCalf;Strain
DetroitPistons,"Hayes,Killian",Out,Injury/Illness-RightHip;Strain
DetroitPistons,"McGruder,Rodney",Out,Injury/Illness-RightElbow;
DetroitPistons,"Okafor,Jahlil",Out,Injury/Illness-LeftKnee;
DetroitPistons,"SmithJr.,Dennis",Available,Injury/Illness-RightLumbar
WashingtonWizards,"Beal,Bradley",Out,Injury/Illness-RightHip;Right
WashingtonWizards,"Bertans,Davis",Out,Injury/Illness-RightCalf;Right
WashingtonWizards,"Bryant,Thomas",Out,Injury/Illness-LeftKnee;Left
WashingtonWizards,"Gafford,Daniel",Out,Injury/Illness-RightAnkle;Right
WashingtonWizards,"Neto,Raul",Available,Injury/Illness-LeftRib;Leftrib
WashingtonWizards,"Smith,Ish",Out,Injury/Illness-RightQuad;Right
BrooklynNets,"Dinwiddie,Spencer",Out,Injury/Illness-RightKnee;
BrooklynNets,"Durant,Kevin",Out,Injury/Illness-LeftHamstring;
BrooklynNets,"Griffin,Blake",Out,Injury/Illness-LeftKnee;Injury
BrooklynNets,"Harden,James",Out,Injury/Illness-RightHamstring;
CharlotteHornets,"Ball,LaMelo",Out,Injury/Illness-RightWrist;
,"Monk,Malik",Available,Injury/Illness-RightFoot;
GoldenStateWarriors,"Paschall,Eric",Out,Injury/Illness-LeftWrist;
GoldenStateWarriors,"Thompson,Klay",Out,Injury/Illness-RightAchilles
MiamiHeat,"Dragic,Goran",Out,Injury/Illness-LowerBack;
MiamiHeat,"Nunn,Kendrick",Available,Injury/Illness-RightAnkle;
MiamiHeat,"Okpala,KZ",Out,HealthandSafetyProtocols
MiamiHeat,"Vincent,Gabe",Available,Injury/Illness-RightKnee;
NewOrleansPelicans,"Ball,Lonzo",Out,Injury/Illness-RightHipFlexor;
NewOrleansPelicans,"Ingram,Brandon",Out,Injury/Illness-RightFirstMTP;
NewOrleansPelicans,"Williamson,Zion",Out,Injury/Illness-RightThumb;
OrlandoMagic,"Anthony,Cole",Out,Injury/Illness-RightRib;Non-
OrlandoMagic,"Carter-Williams,Michael",Out,Injury/Illness-N/a;Illness(non-
OrlandoMagic,"Fultz,Markelle",Out,Injury/Illness-LeftKnee;Torn
OrlandoMagic,"Harris,Gary",Out,Injury/Illness-LeftAdductor;
OrlandoMagic,"Isaac,Jonathan",Out,Injury/Illness-LeftKnee;Injury
OrlandoMagic,"Mane,Karim",Out,Injury/Illness-RightHamstring;
AtlantaHawks,"Collins,John",Out,Injury/Illness-LeftAnkle;Sprain
AtlantaHawks,"Dunn,Kris",Out,Injury/Illness-RightAnkle;
AtlantaHawks,"Hunter,De'Andre",Out,Injury/Illness-RightKnee;
AtlantaHawks,"Reddish,Cam",Out,Injury/Illness-RightAchilles;
SanAntonioSpurs,"Bates-Diop,Keita",Out,Injury/Illness-RightHamstring;
SanAntonioSpurs,"Dieng,Gorgui",Out,Injury/Illness-RightShoulder;
SanAntonioSpurs,"Lyles,Trey",Out,Injury/Illness-RightAnkle;
SanAntonioSpurs,"WalkerIV,Lonnie",Out,Injury/Illness-RightWrist;
DenverNuggets,"Morris,Monte",Out,Injury/Illness-LeftQuadriceps;
LAClippers,"Beverley,Patrick",Out,Injury/Illness-RightKnee;
LAClippers,"George,Paul",,Injury/Illness-RightFoot;
,"Ibaka,Serge",Out,Injury/Illness-LowerBack;
,"MorrisSr.,Marcus",Available,Injury/Illness-RightCalf;
,"Rondo,Rajon",Out,Injury/Illness-RightAdductor;
TorontoRaptors,"Harris,Jalen",Out,Injury/Illness-RightHip;Pointer
TorontoRaptors,"Hood,Rodney",Out,Injury/Illness-RightHip;
TorontoRaptors,"Lowry,Kyle",Out,Injury/Illness-RightFoot;
TorontoRaptors,"McCaw,Patrick",Out,Injury/Illness-LeftKnee;
TorontoRaptors,"Watson,Paul",Out,HealthandSafetyProtocols
DallasMavericks,"Cauley-Stein,Willie",Out,HealthandSafetyProtocols
DallasMavericks,"Redick,]]",Out,Injury/Illness-RightHeel;
DallasMavericks,"Terry,Tyrell",Out,PersonalReasons
NewYorkKnicks,"Barrett,RJ",Questionable,Injury/Illness-RightAnkle;
NewYorkKnicks,"Robinson,Mitchell",Out,Injury/Illness-RightFoot;
NewYorkKnicks,"Rose,Derrick",Questionable,Injury/Illness-LeftAnkle;sore
BostonCeltics,"Ojeleye,Semi",Out,Injury/Illness-LeftSide;Strain
BostonCeltics,"Thompson,Tristan",Out,HealthandSafetyProtocols
HoustonRockets,"Exum,Dante",Out,Injury/Illness-RightCalf;Strain
HoustonRockets,"Gordon,Eric",Out,Injury/Illness-RightGroin;
HoustonRockets,"Nwaba,David",Out,Injury/Illness-RightWrist;
HoustonRockets,"Wall,John",Questionable,Injury/Illness-LeftKnee;
IndianaPacers,"Lamb,Jeremy",Questionable,Injury/Illness-RightToe;Sprain
IndianaPacers,"Sabonis,Domantas",Questionable,Injury/Illness-LeftQuad;
IndianaPacers,"Warren,T.J.",Out,Injury/Illness-LeftFoot;Stress
MemphisGrizzlies,"Allen,Grayson",Questionable,Injury/Illness-LeftHip;Soreness
MemphisGrizzlies,"JacksonJr.,Jaren",Out,Injury/Illness-LeftKnee;
,"Winslow,Justise",Out,Injury/Illness-RightThigh;
MinnesotaTimberwolves,"Okogie,Josh",Questionable,HealthandSafetyProtocols
MinnesotaTimberwolves,"Russell,D'Angelo",Out,Injury/Illness-LeftKnee;
ChicagoBulls,"LaVine,Zach",Questionable,Injury/Illness-RightAnkle;
ChicagoBulls,"Temple,Garrett",Out,Injury/Illness-RightHamstring;
ChicagoBulls,"White,Coby",Questionable,Injury/Illness-LeftCervical;Pain
LosAngelesLakers,"Davis,Anthony",Out,Injury/Illness-RightCalf;strain
LosAngelesLakers,"Drummond,Andre",Out,Injury/Illness-RightBigToe;
LosAngelesLakers,"Dudley,Jared",Out,Injury/Illness-RightMCL;Tear
LosAngelesLakers,"James,LeBron",Out,Injury/Illness-RightAnkle;
LosAngelesLakers,"Matthews,Wesley",Questionable,Injury/Illness-Neck;contusion
SacramentoKings,"BagleyIII,Marvin",Out,Injury/Illness-Left4th
SacramentoKings,"Whiteside,Hassan",Questionable,Injury/Illness-RightKnee;
MilwaukeeBucks,"Portis,Bobby",Questionable,HealthandSafetyProtocols
MilwaukeeBucks,"Teague,Jeff",Questionable,HealthandSafetyProtocols
MilwaukeeBucks,"Tucker,P.J.",Out,"Injury/Illness-LeftCalf,Strain"
PortlandTrailBlazers,"Collins,Zach",Out,Injury/Illness-LeftAnkle;Stress
PortlandTrailBlazers,"Little,Nassir",Out,Injury/Illness-RightThumb;
OklahomaCityThunder,"Bazley,Darius",Out,Injury/Illness-LeftShoulder;
OklahomaCityThunder,"Dort,Luguentz",Out,Injury/Illness-N/a;Concussion
OklahomaCityThunder,"Gilgeous-Alexander,Shai",Out,Injury/Illness-RightFoot;
OklahomaCityThunder,"Jerome,Ty",Out,Injury/Illness-RightAnkle;
OklahomaCityThunder,"Muscala,Mike",Out,Injury/Illness-RightAnkle;
PhoenixSuns,"Craig,Torrey",,Injury/Illness-LeftKnee;
,"Kaminsky,Frank",Out,HealthandSafetyProtocols
,"Nader,Abdel",Out,Injury/Illness-RightKnee;
